"day","shipping_city","shipping_province","traffic_source","host","referrer","order_count","total_sales","Company.ID"
"11/9/2015","Ogden","Utah","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,1904.56,"ID3745"
"11/9/2015","Burbank","California","Direct",NA,NA,1,751.41,"ID1281"
"11/9/2015","Versailles","Missouri","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,873.67,"ID1933"
"11/9/2015","Pompano Beach","Florida","Search Engine","google.com","www.google.com",1,101.25,"ID2268"
"11/9/2015","New Smyrna Beach","Florida","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,1262.55,"ID3323"
"11/10/2015","Houston","Texas","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,598.59,"ID5241"
"11/10/2015","Richmond","California","Direct",NA,NA,1,66.74,"ID1067"
"11/10/2015","Fort Worth","Texas","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,946.7,"ID2794"
"11/10/2015","Washington","District Of Columbia","Direct",NA,NA,1,930.01,"ID4026"
"11/10/2015","Santa Cruz","California","Search Engine","google.com","www.google.com",1,3605.66,"ID4082"
"11/10/2015","Grand Rapids","Michigan","Direct",NA,NA,1,807.87,"ID4694"
"11/10/2015","Murrieta","California","Search Engine","google.com","www.google.com",1,603.2,"ID4659"
"11/10/2015","Long Beach","California","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,718.09,"ID1682"
"11/11/2015","Worley","Idaho","Search Engine","bing.com","www.bing.com/search",1,1197,"ID2985"
"11/12/2015","Corvallis","Oregon","Direct",NA,NA,1,804.55,"ID5296"
"11/12/2015","Portland","Maine","Direct",NA,NA,1,530.92,"ID4032"
"11/12/2015","Boston","Massachusetts","Direct",NA,NA,1,610.52,"ID2988"
"11/13/2015","Redondo Beach","California","Direct",NA,NA,1,598.09,"ID1006"
"11/14/2015","Monrovia","California","Direct",NA,NA,1,450.74,"ID3750"
"11/14/2015","Santa Rosa Beach","Florida","Search Engine","google.com","www.google.com",1,804.99,"ID1846"
"11/16/2015","Boulder","Colorado","Direct",NA,NA,1,1149.8,"ID2218"
"11/16/2015","Miami Beach","Florida","Direct","standdesk.co","www.standdesk.co",1,886.15,"ID1066"
"11/17/2015","Beaverton","Oregon","Search Engine","google.co.jp","www.google.co.jp",1,683.41,"ID1065"
"11/17/2015","San Diego","California","Direct",NA,NA,1,3279.64,"ID3329"
"11/17/2015","Hyattsville","Maryland","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,897.11,"ID3619"
"11/17/2015","Worley","Idaho","Direct",NA,NA,1,99.75,"ID2985"
